,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
458,-1.5625,-4.125,0.375,3.4375,1.4375,-1.3125,6.4375,2.5625,-0.25,-0.875
459,-1.4375,-6.0625,0.25,3.6875,1.1875,-1.25,6.3125,1.8125,-0.9375,0.3125
460,-1.25,-4.3125,-0.6875,3.9375,2.8125,-0.25,7.4375,1.3125,-0.9375,-0.3125
461,-0.5,-5.625,-1.6875,4.4375,-0.5,-0.0625,6.375,0.875,-0.6875,-0.625
462,-1.078125,-4.75,-1.625,4.125,0.25,0.6875,7.0625,0.9375,-0.5,-0.5
463,-1.90625,-4.90625,-0.9375,3.1875,1.1875,0.1875,6.375,2.0,-1.4375,0.125
464,-1.4375,-3.53125,-1.0,4.8125,1.125,1.0,6.4375,2.375,-0.9375,-0.3125
465,-1.90625,-5.34375,-1.0625,2.8125,2.0,0.0625,6.6875,1.75,-2.0625,0.0625
466,-2.03125,-5.15625,-1.6875,3.625,1.375,0.625,6.3125,1.125,-1.5,-0.4375
467,-2.1875,-5.375,-1.875,2.5,1.53125,0.21875,6.59375,1.59375,-0.96875,0.0
468,-1.65625,-3.65625,-1.25,3.3125,1.75,0.875,7.625,2.125,-1.1875,0.9375
469,-3.15625,-6.46875,-2.5,2.0625,1.96875,-0.21875,6.53125,2.15625,-2.09375,-0.375
470,-0.9375,-3.375,-1.8125,4.875,2.75,0.5,7.03125,2.28125,0.625,0.0625
471,-2.125,-6.0,-0.6875,3.75,1.125,-0.4375,6.0625,1.5625,-1.0,0.625
472,-2.1875,-5.3125,-1.0625,4.6875,0.5,-0.0625,6.5,1.4375,-0.0625,0.9375
473,-2.625,-5.375,-0.65625,3.125,1.21875,-0.75,5.65625,1.59375,-0.40625,0.375
474,-1.75,-4.4375,-1.5,4.65625,0.25,0.21875,7.5625,1.71875,-0.59375,0.0
475,-2.15625,-5.40625,-0.9375,3.4375,2.6875,-1.0625,6.3125,1.0625,-1.0625,-0.125
476,-1.375,-3.9375,-0.59375,4.03125,1.40625,-0.5,7.5625,1.84375,-0.71875,1.15625
477,-1.3125,-5.4375,-0.625,2.6875,2.75,-0.5625,6.625,2.0625,-1.0625,0.0625
478,-2.0625,-4.0,-1.3125,3.25,2.5,-0.625,6.5625,2.3125,-0.25,-0.125
479,-1.59375,-4.59375,-0.5625,2.75,3.8125,-0.5625,6.625,2.71875,-0.25,0.1875
480,-0.34375,-2.65625,-0.3125,3.6875,4.84375,-1.375,7.40625,1.6875,-1.5625,0.0625
481,0.03125,-4.3125,0.25,3.75,2.5625,0.0625,6.125,2.875,0.25,0.0625
482,0.03125,-3.03125,-1.4375,3.0625,1.34375,0.03125,5.59375,2.03125,0.09375,0.5625
483,-0.84375,-4.0625,-0.28125,2.5,2.96875,-0.21875,5.46875,2.5,-0.46875,0.375
484,-1.0625,-2.25,-1.5,3.34375,1.21875,2.03125,6.59375,1.53125,-1.03125,0.625
485,-0.875,-3.125,-1.1875,1.75,2.90625,0.59375,6.46875,2.40625,-1.09375,1.28125
486,-0.296875,-3.171875,-0.625,0.625,1.125,-0.125,7.375,2.4375,-1.0,0.375
