,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
939,18.375,19.375,21.625,19.375,17.0,16.5,14.875,15.375,20.25,16.25
940,16.625,17.25,19.5,17.875,16.25,16.75,13.125,13.875,17.625,15.375
941,18.75,18.125,21.25,21.375,16.625,17.5,14.5,15.125,20.0,16.625
942,16.625,17.625,20.25,18.0,14.25,15.0,13.875,14.25,18.125,15.625
943,18.625,19.125,20.625,19.625,17.0,16.625,13.5,14.5,19.875,17.0
944,19.25,18.5,21.25,20.0,18.75,18.75,14.5,14.75,21.0,18.0
945,21.5,20.625,23.125,22.125,20.375,20.75,16.75,18.25,22.5,21.375
946,18.25,17.25,19.625,19.375,17.625,17.75,15.0,15.0,19.5,17.0
947,20.125,19.5,22.125,21.0,19.25,18.625,17.25,17.5,21.0,19.5
948,21.625,21.25,23.5,21.75,21.25,20.875,18.25,16.875,22.375,20.625
949,21.25,20.25,22.375,21.625,20.875,20.875,17.5,17.625,22.0,20.125
950,16.625,17.75,19.125,18.375,16.375,16.5,14.25,14.5,18.125,16.0
951,16.875,18.625,18.75,18.625,16.375,16.375,14.75,14.25,19.0,16.25
952,13.375,15.75,17.125,16.125,12.0,13.0,11.5,11.75,15.375,13.625
953,19.125,20.875,21.125,21.25,17.625,18.375,17.0,17.25,20.875,17.75
954,19.625,19.0,20.5,20.625,17.625,18.875,16.125,16.625,21.375,17.125
955,20.0,21.125,21.375,21.0,20.0,19.875,16.5,16.5,22.125,18.875
956,17.875,19.25,19.5,18.375,18.0,18.0,14.0,13.75,19.5,17.125
957,16.875,19.5,20.5,17.875,17.375,17.75,15.25,15.25,19.25,15.5
958,20.25,23.125,24.375,22.0,20.5,20.75,18.125,17.5,22.5,19.875
959,17.125,18.875,20.125,18.75,17.0,16.375,15.25,14.375,19.0,15.625
960,17.5,17.75,19.875,18.75,16.625,16.25,14.25,14.5,19.125,16.25
961,14.75,14.0,17.25,16.625,13.25,14.0,11.625,11.875,16.875,13.5
962,17.125,18.5,20.75,19.875,17.25,17.875,15.375,15.25,21.125,18.75
963,17.625,17.375,20.75,20.625,17.125,16.625,15.125,15.25,21.25,17.0
964,17.625,19.375,21.25,20.0,17.875,18.25,15.875,15.25,21.0,16.125
965,14.125,15.875,17.25,16.5,15.0,15.875,12.625,13.125,16.875,14.625
966,17.25,17.375,18.375,18.375,16.625,16.5,13.25,12.75,18.75,16.875
967,16.625,16.375,18.125,18.25,15.0,15.5,13.25,12.875,18.375,16.5
968,14.25,14.375,16.125,15.125,13.375,13.25,12.5,12.0,15.75,14.0
969,17.0,17.75,19.375,18.875,17.125,17.375,14.0,15.25,20.75,16.375
970,15.5,17.25,19.375,17.25,16.25,17.0,14.0,15.625,18.625,15.75
971,16.75,16.625,18.5,17.625,15.75,15.875,14.25,13.625,18.625,15.0
972,18.875,18.875,21.0,20.875,17.5,18.75,15.375,16.5,20.75,18.125
973,20.25,20.125,20.625,20.0,17.625,17.5,17.0,16.625,20.625,18.375
974,18.25,18.375,20.75,18.25,17.125,17.75,14.5,14.75,19.375,16.25
975,18.875,18.5,19.5,19.375,17.25,17.125,15.125,16.0,20.5,18.75
